,id,size,brand,size_standard,gender,material,color,category,subcategory,name,description,picture_1,picture_2,picture_3,country,net_price,currency_code
224,62bc86d67b393b001207e23b,S,Emporio Armani,UK,Male,Cotton,White,Activewear,Activewear,Mens armani polo t shirt,Mens armani t shirt worn few times but too small for me now,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/293f9414-d726-4668-8d92-1eebba29814f.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/a3ff7e99-c8bc-430c-b3fa-b0a3a5728d49.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/3f1dc1e6-9399-41e8-9745-fb9c77a7c273.jpg,UK,12.19,GBP
227,62bc87e27b393b001207e26a,S,Emporio Armani,UK,Male,Cotton,Green,Activewear,Activewear,Armani ea7 t shirt,Mens t shirt worn a few times too small for me,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/41f96f24-c032-48f4-813c-b7ce8f134c6d.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/c08e4d13-22c4-469c-8d0c-856d38f50d18.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/3b326e63-7527-4e08-b618-3baccbbeb852.jpg,UK,12.19,GBP
230,62bc894e7b393b001207e2ae,S,Emporio Armani,UK,Male,Polyester,Green,Sweaters and knitwear,Crew neck jumpers,Armani,Mens top used few times too small for me,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/cd2a03e4-5f95-4c9c-8079-1751ac56faf6.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/c37c309b-c4fd-436f-9900-afcc4fa6beed.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/e188c458-548e-4ece-964f-2bb350c609ad.jpg,UK,19.17,GBP
233,62bca3107b393b001207e7f9,M,Alexander McQueen,UK,Female,Cotton,Black,Hoodies,Hoodies,Alexander Mcqueen hoodie,Cropped alexander mcqueen hoodie without drawstring in a size M,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/844e5b6b-8051-42a3-a1a8-4e3ec7cb4cb8.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/cf23ce9f-576d-4175-ae07-01f5f02a485d.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/447a9f98-2008-4d2d-b3c9-d2d03317067f.jpg,UK,42.25,GBP
234,62bd903f7b393b00120802f8,M,Polo Ralph Lauren,UK,Female,Cotton,Red,Tops,T-shirts,Ralph lauren polo t shirt red,"Red ralph lauren polo t shirt, good condition ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/a4c0d664-f135-40d4-9d78-f5dbac025584.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/2b4788df-6f66-4a59-9d7f-cfda18f0d765.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/ac9ae1b9-d1b1-4f2b-be23-c359c4357cca.jpg,UK,4.1,GBP
237,62bd913b7b393b001208032a,M,Fila,UK,Female,Polyester,Navy,Coats,Raincoats and trench coats,"Navy fila raincoat, cuffed sleeves",Navy raincoat bought but never worn. Padded for extra warmth ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/162f0495-39b4-4475-92a6-a50ff5c14063.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/75113cb0-f9e8-4fd8-825c-2c5523f3de7c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/2ec4b9d1-521e-4437-bdb9-016d40c96cdb.jpg,UK,12.67,GBP
240,62bd940a7b393b00120803bc,S,Levi's,UK,Female,Cotton - elasthane,Blue,Jeans,Skinny jeans,Mile high skinny jeans,"Jeans are waist 27 which is similar to small
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/cb12483c-1b4f-47f8-ae59-fd39f0b9cbd5.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/4b25c8b2-e5df-44ce-95c0-144ed8952d2e.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/281e9fb6-0388-42df-91e6-a8e06d6b9d0a.jpg,UK,9.22,GBP
243,62bdc4857bea1000148b91c7,XS,Moncler,UK,Male,Cotton,Red,T-shirts,Polo shirts,Moncler Polo Shirt ,"Good as new, hardly ever been worn. No stains or marks",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/77333c9b-3b91-4b39-a2b4-8015d30d381e.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/69add838-25e8-4dfc-8001-65f0fe9989dc.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/246cff82-d13d-436a-bc2f-9a304107381a.jpg,UK,30.0,GBP
249,62bdf84448024c0012f8be11,M,Kenzo,UK,Female,Cotton,Grey,Sweatshirts,Sweatshirts,Kenzo sweatshirt ,"Grey jumper with yellow and blue detailing 
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/8ebdccce-f000-474f-bd94-7d9da1220bde.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/bc9bf2fd-0326-4def-bc5f-4657dcdaa481.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/47b636d8-4287-41ff-a62c-e42d6d427e1f.jpg,UK,37.44,GBP
252,62bdf91e48024c0012f8be5f,S,Calvin Klein,UK,Female,Cotton,White,Hoodies,Hoodies,Cropped hoodie ,Cropped white Calvin Klein hoodie with sleeve detailing ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/a3bb9c47-9c87-4efe-b827-db2f79c024e9.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f7c90d9f-110f-43c0-a73e-835ff2c78593.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/1b5ed75a-8e5c-4778-992e-bc38403dacca.jpg,UK,6.9,GBP
