,id,size,brand,size_standard,gender,material,color,category,subcategory,name,description,picture_1,picture_2,picture_3,country,net_price,currency_code
903,62b475f9af682a00132f6758,XS,Reebok,UK,Female,Cotton,Cream,Knitwear,Jumpers,Cream logo spell out reebok womens jumper ,Reebok cotton logo jumper xs with union jag flag embroidery ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,9.0,GBP
918,62b4fe00af682a00132f7b05,8,Burberry Brit,UK,Female,Other - write in description,Black,Coats,Raincoats and trench coats,Burberry trench coat black,"Burberry trench coat
Good condition",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,47.69,GBP
928,62b59c3b29ac9d00135ff8b3,3XL,Philipp Plein,UK,Male,Cotton,Black,T-shirts,Short sleeve t-shirts,Philipp Plein mens black T-shirt,Worn once Philipp Plein T-shirt very good condition. The T-shirt comes up very small so a triple XL is roughly a large or XL,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,55.23,GBP
933,62b5d6e39e805300125fa00b,S,Lacoste,US,Male,Cotton,Grey,Sweatshirts,Sweatshirts,Lacoste sweatshirt ,"In new condition barely worn, no problems. Mens size small. ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,12.71,GBP
948,62b5d922f324800013c52d6b,XL,The North Face,UK,Male,Mixed Fabric,Grey,Hoodies,Hoodies,North face hoodie ,"Not worn much, in new condition XL juniors/ S mens. ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,6.55,GBP
963,62b6dd6d31dcff00126e88e4,M,Emporio Armani,EU,Male,Cotton,Multicolour,Trousers,Formal trousers,Emporio Armani suit trousers ,EU size 42 suit trousers. Great condition ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,7.71,GBP
993,62b6e6e931dcff00126e8f16,S,Adidas,EU,Male,Polyester,Blue,Jackets,Activewear jackets,Adidas activewear jumper,"Mens adidas small jumper, my favourite activewear jumper ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,3.99,GBP
1023,62b73c7231dcff00126e9b80,M,Off-White,UK,Male,Cotton,Grey,Sweatshirts,Sweatshirts,Off White Grey Crew Neck ,"Good Condition , No Marks, Fits True To Size ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,121.0,GBP
1028,62b865b170bc3a0012b1e5ab,M,Off-White,EU,Female,Cotton,Navy,Hoodies,Hoodies,"""Staff"" hoodie",Off white hoodie navy blue size m,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,115.24,GBP
1043,62b867f070bc3a0012b1e5fa,M,Off-White,EU,Female,Cotton,Navy,Hoodies,Hoodies,Off white hoodie,Navy size m off white womens hoodie,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dc7d862f-1b2e-4599-b84f-71dc5045b40c.jpg,UK,115.24,GBP
