device,manufacturer,capacity,network,grade,price_gbp,price_eur,price_usd,publishedAt
928,5,12,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
929,5,13,3,7,290,340.75,348.0,2022-06-17T18:11:17.382Z
929,5,13,3,8,190,223.25,228.0,2022-06-17T18:11:17.382Z
929,5,13,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
929,5,13,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
929,5,17,3,7,340,399.5,408.0,2022-06-17T18:11:17.382Z
929,5,17,3,8,240,282.0,288.0,2022-06-17T18:11:17.382Z
929,5,17,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
929,5,17,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
929,5,18,3,7,375,440.625,450.0,2022-06-17T18:11:17.382Z
929,5,18,3,8,275,323.125,330.0,2022-06-17T18:11:17.382Z
929,5,18,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
929,5,18,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
929,5,12,3,7,410,481.75,492.0,2022-06-17T18:11:17.382Z
929,5,12,3,8,310,364.25,372.0,2022-06-17T18:11:17.382Z
929,5,12,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
929,5,12,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
929,5,19,3,7,445,522.875,534.0,2022-06-17T18:11:17.382Z
929,5,19,3,8,345,405.375,414.0,2022-06-17T18:11:17.382Z
929,5,19,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
929,5,19,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
929,5,13,4,7,190,223.25,228.0,2022-06-17T18:11:17.382Z
929,5,13,4,8,90,105.75,108.0,2022-06-17T18:11:17.382Z
929,5,13,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
929,5,13,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
929,5,17,4,7,240,282.0,288.0,2022-06-17T18:11:17.382Z
929,5,17,4,8,140,164.5,168.0,2022-06-17T18:11:17.382Z
929,5,17,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
929,5,17,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
929,5,18,4,7,275,323.125,330.0,2022-06-17T18:11:17.382Z
929,5,18,4,8,175,205.625,210.0,2022-06-17T18:11:17.382Z
929,5,18,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
929,5,18,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
929,5,12,4,7,310,364.25,372.0,2022-06-17T18:11:17.382Z
929,5,12,4,8,210,246.75,252.0,2022-06-17T18:11:17.382Z
929,5,12,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
929,5,12,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
929,5,19,4,7,345,405.375,414.0,2022-06-17T18:11:17.382Z
929,5,19,4,8,245,287.875,294.0,2022-06-17T18:11:17.382Z
929,5,19,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
929,5,19,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
930,5,13,3,7,290,340.75,348.0,2022-06-17T18:11:17.382Z
930,5,13,3,8,190,223.25,228.0,2022-06-17T18:11:17.382Z
