id,device
3415,929
3416,929
3417,929
3418,929
3419,929
3420,929
3421,929
3422,929
3423,929
3424,929
3425,929
3426,929
3427,929
3428,929
3429,929
3430,929
3431,929
3432,929
3433,930
3434,930
3435,930
3436,930
3437,930
3438,930
3439,930
3440,930
3441,930
3442,930
3443,930
3444,930
3445,930
3446,930
3447,930
3448,930
3449,930
3450,930
3451,930
3452,930
3453,930
3454,930
3455,930
3456,930
3457,930
3458,930
3459,930
3460,930
3461,930
3462,930
3463,930
3464,930
3465,930
3466,930
3467,930
3468,930
3469,930
3470,930
3471,930
3472,930
3473,931
3474,931
3475,931
3476,931
3477,931
3478,931
3479,931
3480,931
3481,931
3482,931
3483,931
3484,931
3485,931
3486,931
3487,931
3488,931
3489,931
3490,931
3491,931
3492,931
3493,931
3494,931
3495,931
3496,931
3497,931
3498,931
3499,931
3500,931
3501,931
3502,931
3503,931
3504,931
3505,931
3506,931
3507,931
3508,931
3509,931
3510,931
3511,931
3512,931
3513,932
3514,932
3515,932
3516,932
3517,932
3518,932
3519,932
3520,932
3521,932
3522,932
3523,932
3524,932
3525,932
3526,932
3527,932
3528,932
3529,932
3530,932
3531,932
3532,932
3533,932
3534,932
3535,932
3536,932
3537,932
3538,932
3539,932
3540,932
3541,932
3542,932
3543,932
3544,932
3545,932
3546,932
3547,932
3548,932
3549,932
3550,932
3551,932
3552,932
3553,933
3554,933
3555,933
3556,933
3557,933
3558,933
3559,933
3560,933
3561,933
3562,933
3563,933
3564,933
3565,933
3566,933
3567,933
3568,933
3569,933
3570,933
3571,933
3572,933
3573,933
3574,933
3575,933
3576,933
3577,934
3578,934
3579,934
3580,934
3581,934
3582,934
3583,934
3584,934
3585,934
3586,934
3587,934
3588,934
3589,934
3590,934
3591,934
3592,934
3593,934
3594,934
3595,934
3596,934
3597,934
3598,934
3599,934
3600,934
3601,935
3602,935
3603,935
3604,935
3605,935
3606,935
3607,935
3608,935
3609,935
3610,935
3611,935
3612,935
3613,935
3614,935
3615,935
3616,935
3617,935
3618,935
3619,935
3620,935
3621,935
3622,935
3623,935
3624,935
3625,936
3626,936
3627,936
3628,936
3629,936
3630,936
3631,936
3632,936
3633,936
3634,936
3635,936
3636,936
3637,936
3638,936
3639,936
3640,936
3641,936
3642,936
3643,936
3644,936
3645,936
3646,936
3647,936
3648,936
3649,937
3650,937
3651,937
3652,937
3653,937
3654,937
3655,937
3656,937
3657,937
3658,937
3659,937
3660,937
3661,937
3662,937
3663,937
3664,937
3665,937
3666,937
3667,937
3668,937
3669,937
3670,937
3671,937
3672,937
3673,938
3674,938
3675,938
3676,938
3677,938
3678,938
3679,938
3680,938
3681,938
3682,938
3683,938
3684,938
3685,938
3686,938
3687,938
3688,938
3689,938
3690,938
3691,938
3692,938
3693,938
3694,938
3695,938
3696,938
3697,939
3698,939
3699,939
3700,939
3701,939
3702,939
3703,939
3704,939
3705,939
3706,939
3707,939
3708,939
3709,939
3710,939
3711,939
3712,939
3713,939
3714,939
3715,939
3716,939
3717,939
3718,939
3719,939
3720,939
3721,940
3722,940
3723,940
3724,940
3725,940
3726,940
3727,940
3728,940
3729,940
3730,940
3731,940
3732,940
3733,940
3734,940
3735,940
3736,940
3737,940
3738,940
3739,940
3740,940
3741,940
3742,940
3743,940
3744,940
3745,941
3746,941
3747,941
3748,941
3749,941
3750,941
3751,941
3752,941
3753,941
3754,941
3755,941
3756,941
3757,941
3758,941
3759,941
3760,941
3761,941
3762,941
3763,941
3764,941
3765,941
3766,941
