id,name,manufacturer,image,network,capacity,grade_a,grade_b,grade_c,grade_d,grade_e
928,iPad Pro 4 (2020) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0459531c6b0.jpgg,Locked,256,,300,200,30,15
928,iPad Pro 4 (2020) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0459531c6b0.jpgg,Locked,512,,330,230,30,15
928,iPad Pro 4 (2020) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0459531c6b0.jpgg,Locked,1,,330,230,30,15
929,iPad Pro 5 (2021) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,128,,290,190,30,15
929,iPad Pro 5 (2021) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,256,,340,240,30,15
929,iPad Pro 5 (2021) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,512,,375,275,30,15
929,iPad Pro 5 (2021) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,1,,410,310,30,15
929,iPad Pro 5 (2021) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,2,,445,345,30,15
929,iPad Pro 5 (2021) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,128,,190,90,30,15
929,iPad Pro 5 (2021) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,256,,240,140,30,15
929,iPad Pro 5 (2021) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,512,,275,175,30,15
929,iPad Pro 5 (2021) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,1,,310,210,30,15
